product name,sku,category,status,price,loudness,product URL,thumbnail URL,color variants
Front Control Smart wi-fi Enabled Dishwasher with QuadWash,ADFD5448AT,Dishwashers,ACTIVE,949,,https://www.lg.com/us/dishwashers/lg-adfd5448at-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/f8d37b16-e8ef-4bc6-a80d-9d361c496836/md07516580-zoom-01-jpg,stainless_steel
Front Control Dishwasher with QuadWash and EasyRack Plus,LDF5545ST,Dishwashers,ACTIVE,699,48,https://www.lg.com/us/dishwashers/lg-ldf5545st-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/ea2aaae1-9ad7-4c1a-8e00-81bed3a05363/md05753033-Z-01-jpg,"stainless_steel, print_proof_stainless_steel"
Front Control Dishwasher with QuadWash and EasyRack Plus,LDF5545SS,Dishwashers,ACTIVE,749,48,https://www.lg.com/us/dishwashers/lg-ldf5545st-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/d3532007-9b8b-456d-b91e-cb4681fb8d5d/md06119676-Z-01-jpg,"stainless_steel, print_proof_stainless_steel"
Front Control Dishwasher with LoDecibel Operation and Dynamic Dry,LDFC2423V,Dishwashers,ACTIVE,449,,https://www.lg.com/us/dishwashers/lg-ldfc2423w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/cfe8cd29-95bb-418f-b713-14d092ded64d/md08003780-DZ-1-jpg,"white, stainless_steel, mc_k41s_black"
Front Control Dishwasher with LoDecibel Operation and Dynamic Dry,LDFC2423B,Dishwashers,ACTIVE,449,,https://www.lg.com/us/dishwashers/lg-ldfc2423w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/30c9adf9-aeef-4e32-a3bf-abc2e8c5b4b2/md08003900-DZ-1-jpg,"white, stainless_steel, mc_k41s_black"
Front Control Dishwasher with LoDecibel Operation and Dynamic Dry,LDFC2423W,Dishwashers,ACTIVE,449,,https://www.lg.com/us/dishwashers/lg-ldfc2423w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/973a6891-b5f4-4f8f-a45d-60d908f0a434/md08003901-DZ-1-jpg,"white, stainless_steel, mc_k41s_black"
Front Control Dishwasher with QuadWash,LDFN4542S,Dishwashers,ACTIVE,899,48,https://www.lg.com/us/dishwashers/lg-ldfn4542w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/a6d1217b-9315-4f96-9050-60b45cbb1e62/md07521745-Z-01-jpg,"white, print_proof_stainless_steel, black_stainless_steel, black"
Front Control Dishwasher with QuadWash and 3rd Rack,LDFN4542W,Dishwashers,ACTIVE,799,48,https://www.lg.com/us/dishwashers/lg-ldfn4542w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/3e31963d-c87d-4e5c-8b16-df35dd84411b/md08000331-Z-01-jpg,"white, print_proof_stainless_steel, black_stainless_steel, black"
Front Control Dishwasher with QuadWash and 3rd Rack,LDFN4542B,Dishwashers,ACTIVE,799,48,https://www.lg.com/us/dishwashers/lg-ldfn4542w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/4912e4a8-c4fd-4821-b92c-4e34f0d698a7/md08000332-Z-01-jpg,"white, print_proof_stainless_steel, black_stainless_steel, black"
Front Control Dishwasher with QuadWash and 3rd Rack,LDFN4542D,Dishwashers,ACTIVE,949,48,https://www.lg.com/us/dishwashers/lg-ldfn4542w-front-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/8226f4cb-4b93-44bd-bd45-0d4bfe2f8864/md08000333-Z-01-jpg,"white, print_proof_stainless_steel, black_stainless_steel, black"
Top Control Smart wi-fi Enabled Dishwasher with QuadWash,LDP6797ST,Dishwashers,ACTIVE,899,44,https://www.lg.com/us/dishwashers/lg-ldp6797st-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/5f29f988-afca-40cc-85c8-316fa9371028/md05825029-large02-jpg,"stainless_steel, black_stainless_steel"
Top Control Smart wi-fi Enabled Dishwasher with QuadWash,LDP6797BD,Dishwashers,ACTIVE,999,44,https://www.lg.com/us/dishwashers/lg-ldp6797st-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/02ee8461-dc8f-4c14-9684-374c10d32113/md05825071-large02-jpg,"stainless_steel, black_stainless_steel"
Top Control Smart wi-fi Enabled Dishwasher with QuadWash and TrueSteam,LDP6809SS,Dishwashers,ACTIVE,999,44,https://www.lg.com/us/dishwashers/lg-ldp6809ss-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/c0245b98-0f35-41a3-8c37-1b10b4c18d3e/md06091356-large01-jpg,stainless_steel
Top Control Smart wi-fi Enabled Dishwasher with QuadWash and TrueSteam,LDP6810SS,Dishwashers,ACTIVE,1099,44,https://www.lg.com/us/dishwashers/lg-ldp6810ss-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/50aa6bb1-fea9-47b3-b7bd-fa6c6970c4f7/md07508653-zoom-01-jpg,"print_proof_stainless_steel, black_stainless_steel"
Top Control Smart Wi-Fi Enabled Dishwasher with QuadWash and TrueSteam,LDP6810BD,Dishwashers,ACTIVE,1149,44,https://www.lg.com/us/dishwashers/lg-ldp6810ss-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/194fc185-f7b6-4514-9ee0-e9cf8527554c/md07508807-zoom-01-jpg,"print_proof_stainless_steel, black_stainless_steel"
"Smart Top Control Dishwasher with 1-Hour Wash & Dry, QuadWash Pro, TrueSteam and Dynamic Heat Dry",LDPH7972S,Dishwashers,ACTIVE,1299,,https://www.lg.com/us/dishwashers/lg-ldph7972s-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/2afde950-39ca-4291-9200-8ca9a0a62c16/md08003250-large11-jpg,"print_proof_stainless_steel, black_stainless_steel"
"Smart Top Control Dishwasher with 1-Hour Wash & Dry, QuadWash Pro, TrueSteam and Dynamic Heat Dry",LDPH7972D,Dishwashers,ACTIVE,1349,,https://www.lg.com/us/dishwashers/lg-ldph7972s-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/83493d27-061a-48a9-90b4-b10cff14dae1/md08003251-large01-jpg,"print_proof_stainless_steel, black_stainless_steel"
"Smart Top Control Dishwasher with QuadWash Pro, TrueSteam and Dynamic Dry",LDPS6762D,Dishwashers,ACTIVE,799,,https://www.lg.com/us/dishwashers/lg-ldps6762s-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/f5b004ad-caff-4f53-941d-5feb3552bfb8/md08003230-DZ-01-jpg,"print_proof_stainless_steel, black_stainless_steel"
"Smart Top Control Dishwasher with QuadWash Pro, TrueSteam and Dynamic Dry",LDPS6762S,Dishwashers,ACTIVE,779,,https://www.lg.com/us/dishwashers/lg-ldps6762s-top-control-dishwasher,https://media.us.lg.com/transform/ecomm-PDPGalleryThumbnail-350x350/3faff55b-0eb2-4bbb-a7d0-880bd5e40b63/md08003240-DZ-01-jpg,"print_proof_stainless_steel, black_stainless_steel"
